yurt_ilce;yurt_ismi;yurt_cinsiyet;yurt_kategori;yurt_puan;yurt_degerlendirme_sayisi;yurt_saat;yurt_tel;yurt_adres;yurt_website; yurt_enlem ; yurt_boylam 
aliaga;ozel sehit murat yalvac erkek ogrenim erkek ogrenci yurdu;erkek;ozel;4,7;54;-;-;yeni, 524. sk., 35800 aliaga/izmir;-;38.78542320769829;26.9739686570935
aliaga;refik bey yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;3,4;5;-;-;yali, osman nuri ozturk sk., 35800 aliaga/izmir;-;38.8121959599584;26.980131788508636
aliaga;yeni mahalle kiz ogrenci yurdu;kiz;ozel;4,1;24;-;0232 616 96 15;yeni, 536. sk., 35800 aliaga/izmir;-;38.78841038071059;26.97256497131088
aliaga;ozel atlas kiz yurdu;kiz;ozel;3,5;2;-;-;kazim dirik, 35803 aliaga/izmir;https://www.google.com/travel/hotels/izmir%20alia%C4%9Fa%20yurt/entity/CgoI-vT_0uffpaxsEAE/prices?g2lb=2502548,2503771,2503781,4258168,4284970,4291517,4597339,4757164,4814050,4874190,4893075,4924070,4965990,72298667,72302247,72317059,72370226,72379816,72385362,72389535,72389536,72390435,72393630&hl=tr-TR&gl=tr&ssta=1&q=izmir+alia%C4%9Fa+yurt&ts=CAESABorCikSJzIlMHgxNGJhMzAzYzAxZDE4NGZmOjB4NmM1ODk2ZmU3YTVmZmE3YQ&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwj-g9XnnomCAxX53QIHHR3qDjcQrK0LegQIBRAC;38.799699537162844; 26.96845468665552
balcova;mis izmir kiz ogrenci yurdu;kiz;ozel;4,4;56;24 saat acik;0232 278 18 81;koruturk, funda sk. no:10, 35330 balcova/izmir;-;38.39270866155586; 27.050152596225384
balcova;ezgi kiz ogrenci yurdu;kiz;ozel;4,3;11;24 saat acik;0532 464 72 24;koruturk, dilan sk. no:9/2, 35330 balcova/izmir;https://www.ezgikizyurtlari.com/;38.391491517695854; 27.049080098077496
balcova;demet kiz ogrenci yurdu;kiz;ozel;4,5;11;24 saat acik;0536 606 56 50;koruturk, meltem sk. no 43/1, 35330 balcova/izmir;-;38.391281582844; 27.04413912393782
balcova;turk egitim vakfi cumhuriyet yuksek ogrenim kiz ogrenci yurdu;kiz;vakif;4,3;96;24 saat acik;0232 278 27 27;koruturk, lider sk. no:23, 35330 balcova/izmir;-;38.39076054721337; 27.043045493401426
balcova;t.c. milli egitim bakanligi ozel mercan kiz ogrenci yurdu 2;kiz;ozel;4,0;9;-;0232 278 29 95;koruturk, kasirga sk. no:33, 35330 balcova/izmir;https://www.yurtarama.com/y-mercan-kiz-ogrenci-yurdu-balcova-izmir-1324.html;38.39067406581364; 27.04405370503982
balcova;yuksek ogrenim kredi ve yurtlar kurumu ataturk inciralti yurt mudurlugu;-;devlet;3,8;531;-;0232 277 33 33;inciralti, inciralti cd. no:69, 35330 balcova/izmir;-;38.413014352162605; 27.031416043141636
balcova;dilara kiz ogrenci yurdu izmir balcova;kiz;ozel;4,7;65;24 saat acik;0507 397 06 37;koruturk, kestane sk. no.51, 35330 balcova/izmir;-;38.39170414545765; 27.043731687842037
balcova;narin kiz ogrenci yurdu;kiz;ozel;3,4;12;-;0232 278 99 90;koruturk, ozlem sk. no:22, 35330 balcova/izmir;https://narinkizyurduu.wordpress.com/;38.392039099211885; 27.05052027012466
balcova;nafi kiz ogrenci yurdu;kiz;ozel;5,0;2;-;0533 383 03 82;koruturk, kasirga sk. no:39, 35330 balcova/izmir;https://nafikizyurdu.com/;38.39069143812575; 27.044729256633158
balcova;ozel deniz yildizi yuksek ogrenim erkek ogrenci aparti;erkek;ozel;2,2;10;24 saat acik;0507 763 93 62;koruturk, ozlem sk. no: 14, 35330 balcova/izmir;http://www.denizyildizierkekapart.com/;38.39168398245883; 27.049570087876614
balcova;ataturk ogrenci yurdu;-;devlet;3,4;20;-;0232 277 33 33;inciralti, 10. sk no:69, 35040 balcova/izmir;-;38.40218494720352; 27.037232570124665
bayindir;yurtkur ogrenci yurdu;-;ozel;4,3;37;24 saat acik;-;sadikpasa, sht. cevdet aygun cd. no:11, 35840 bayindir/izmir;-;38.21453457446495;27.64401156523184
bayindir;ozel zeynel aktas ortaogrenim erkek ogrenci yurdu;erkek;ozel;5,0;1;-;0232 581 42 22;sadikpasa, orhan gazi sk. no:18, 35840 bayindir/izmir;-;38.21461728535916;27.642570521051045
bayrakli;ozel kemal catmadas ortaogrenim erkek ogrenci yurdu;erkek;ozel;4,8;105;24 saat acik;0232 365 44 51;gumuspala, 7000. sk., 35510 bayrakli/izmir;https://ozel-kemal-catmadas-ortaogrenim-erkek-ogrenci.business.site/?utm_source=gmb&utm_medium=referral;38.46686030375605; 27.13510560874608
bayrakli;ozel yildiz orta ogretim erkek ogrenci yurdu;erkek;ozel;3,0;2;-;-;gumuspala, 7075. sk., 35510 bayrakli/izmir;-;38.470488698463924; 27.136536439435375
bayrakli;ozel bayrakli ortaokul erkek ogrenci yurdu;erkek;ozel;4,8;73;24 saat acik;0232 341 71 71;cicek, 1631. sk. no:47, 35540 bayrakli/izmir;https://ozel-bayrakli-ortaokul-ogrenci-yurdu.business.site/?utm_source=gmb&utm_medium=referral;38.46681220276473; 27.168318760859005
